#TWEET_ID;#TARGET;#STANCE
633657887320068096;Galatasaray;Favor
633664327036366848;Galatasaray;Favor
633665657511518208;Galatasaray;Favor
633665712536592384;Galatasaray;Favor
633665970729558016;Galatasaray;Favor
633667013915885568;Galatasaray;Favor
633670184373460993;Galatasaray;Favor
633670372630597633;Galatasaray;Favor
633670964216233984;Galatasaray;Favor
633671253187031040;Galatasaray;Favor
633672166270177280;Galatasaray;Favor
633672423204868096;Galatasaray;Favor
633673263852425216;Galatasaray;Favor
633673442605334529;Galatasaray;Favor
633675876761255936;Galatasaray;Favor
633680113155055616;Galatasaray;Favor
633684689807667200;Galatasaray;Favor
633686096602337280;Galatasaray;Favor
633686181876776960;Galatasaray;Favor
633686315784138752;Galatasaray;Favor
633687417950748672;Galatasaray;Favor
633688716985434112;Galatasaray;Favor
633698186847195140;Galatasaray;Favor
633699362330279936;Galatasaray;Favor
633701857924390917;Galatasaray;Favor
633702344040034304;Galatasaray;Favor
633703103280324608;Galatasaray;Favor
633704633110765568;Galatasaray;Favor
633705797684432896;Galatasaray;Favor
633706239600513024;Galatasaray;Favor
633706870121857024;Galatasaray;Favor
633708014214737921;Galatasaray;Favor
633709050904080384;Galatasaray;Favor
633990177275420673;Galatasaray;Favor
634010435721805824;Galatasaray;Favor
634033369219747841;Galatasaray;Favor
634033409942257664;Galatasaray;Favor
634033478733008896;Galatasaray;Favor
634034462859395072;Galatasaray;Favor
634040502262870016;Galatasaray;Favor
634347293228011520;Galatasaray;Favor
634349305776762880;Galatasaray;Favor
634350798827335680;Galatasaray;Favor
634354619775324160;Galatasaray;Favor
634367792213565444;Galatasaray;Favor
634370652624027648;Galatasaray;Favor
634381985218187264;Galatasaray;Favor
634390350044508160;Galatasaray;Favor
634392508508803073;Galatasaray;Favor
634404749580869632;Galatasaray;Favor
634712364923920392;Galatasaray;Favor
634719099810115585;Galatasaray;Favor
634719429113323520;Galatasaray;Favor
634723441258692608;Galatasaray;Favor
634725692404551680;Galatasaray;Favor
634728219829248000;Galatasaray;Favor
634741881520451584;Galatasaray;Favor
634748767690981376;Galatasaray;Favor
635094014849642497;Galatasaray;Favor
635111528379883520;Galatasaray;Favor
635121487071059968;Galatasaray;Favor
635129871296020480;Galatasaray;Favor
635134281417945088;Galatasaray;Favor
635135011675619328;Galatasaray;Favor
635135121281126400;Galatasaray;Favor
635482771218132992;Galatasaray;Favor
635489936947445760;Galatasaray;Favor
635492787077709824;Galatasaray;Favor
635805712493375489;Galatasaray;Favor
635805781665910785;Galatasaray;Favor
635810049168961540;Galatasaray;Favor
635814487468150786;Galatasaray;Favor
635816436460597248;Galatasaray;Favor
635819537464721408;Galatasaray;Favor
635820826080751616;Galatasaray;Favor
635821006679068672;Galatasaray;Favor
635822235715022848;Galatasaray;Favor
635837303861198848;Galatasaray;Favor
635837350157922304;Galatasaray;Favor
635839490867752960;Galatasaray;Favor
635843213727793153;Galatasaray;Favor
635845602853679104;Galatasaray;Favor
635845603801604096;Galatasaray;Favor
635847042129100801;Galatasaray;Favor
635847138937843712;Galatasaray;Favor
635854793349681153;Galatasaray;Favor
636172802245152769;Galatasaray;Favor
636176422202134528;Galatasaray;Favor
636177651011592192;Galatasaray;Favor
636188476891918336;Galatasaray;Favor
636190114952183813;Galatasaray;Favor
636197760233009152;Galatasaray;Favor
636197770697687040;Galatasaray;Favor
636197879053426688;Galatasaray;Favor
636203629079306240;Galatasaray;Favor
636207807356870660;Galatasaray;Favor
636207916710764544;Galatasaray;Favor
636532168274128897;Galatasaray;Favor
636548558141923328;Galatasaray;Favor
